Marker peaks Fev+ Delta;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
18-80533816-80534734;136342939760808;-896881633758805;88;154;1
8-109945045-109945976;136512733729665;-105679502337651;64;125;1
12-71404880-71405813;13661985803355;-965473223833754;64;127;1
9-9036997-9037932;13662267010443;620578523887948;172;112;1
2-144308326-144309243;136673622404536;404514137952314;341;262;1
14-69803630-69804388;136805022114671;699591432940559;139;87;1
12-44859335-44860180;137129746999732;827787780363477;105;0.06;1
10-87058037-87058906;137240119018318;360238904985603;429;341;1
18-36017864-36018758;137397409468173;-464587691579523;311;391;1
10-92332704-92333610;137851914293157;58988432060635;196;133;1
4-119359215-119360128;13822543102941;-979804303394092;61;122;1
6-58900231-58901149;138822324137372;839746323901676;101;57;1
17-79282896-79283802;138897428372683;537781209296741;216;148;1
3-135841713-135842630;139213115968003;642775728715948;169;109;1
12-112206364-112207277;139250177886009;511357924961592;247;172;1
8-83666240-83667127;139366079307196;683191083396145;142;88;1
1-183075100-183076046;14016525328146;693522403504563;135;83;1
16-50195848-50196770;140335360258485;647756353936504;155;98;1
11-3565788-3566698;140354350344254;732604726533641;142;89;1
15-12407124-12408042;140511260764926;653477320937498;162;105;1
1-63998020-63998868;140668887782902;812309820057452;101;57;1
11-5261278-5262183;140964050782373;-336595465103363;439;541;1
16-94753130-94753992;14105973003925;695014086211284;139;85;1
X-71528401-71529315;141287116347279;545898694644703;206;137;1
12-24251909-24252805;141715951612209;52446970805179;243;175;1
6-133622946-133623852;142441120392382;587824845341963;182;121;1
12-100234691-100235686;142628934624793;613484582562589;179;119;1
1-120357110-120358019;142805424164696;707384789190804;118;0.07;1
5-132261501-132262408;142816322226747;674701706107134;142;87;1
14-70177379-70178275;142930900056718;746573612648722;145;92;1
9-60405032-60405921;143347979365205;764797621341056;122;73;1
10-104685534-104686447;143609226069647;688426653960513;172;114;1
11-19015723-19016652;143613330558986;776161104419402;132;82;1
1-152524725-152525652;14367042008163;708525833169141;142;89;1
13-52569121-52570068;144193247775119;576261942854081;206;143;1
5-101586139-101587076;144637972678525;617997809866973;166;107;1
4-140779595-140780483;145013319119502;576170956784908;206;141;1
9-89777168-89778112;145691504120779;705278175029765;128;77;1
2-52072456-52073356;147502990195653;338346489152754;503;427;1
11-69235115-69235933;14772194107494;-6918435977039;142;218;1
11-88481332-88482284;147801941009873;-611372568342027;182;262;1
4-130035917-130036658;148400024453468;626536541427815;166;107;1
1-175607603-175608513;149407991744464;686982855280219;135;83;1
4-107650643-107651605;149729806993205;754808849569006;128;79;1
10-22140568-22141468;149787694612748;584478716803105;189;126;1
5-92505155-92506023;149869555688328;278492830509407;598;517;1
2-106194106-106195006;151368249126007;603414455344789;186;123;1
13-37666253-37667167;151502595230985;59801417475973;206;145;1
16-94227307-94228220;151809778982783;588231292745068;186;126;1
6-72755035-72755941;152044554324381;868210775711239;101;58;1
15-59005236-59006154;152211719703436;-111740187326344;64;122;1
8-88565885-88566802;15324737317471;-459989076530636;253;343;1
14-25519500-25520404;153257506563233;522660022094984;0.28;214;1
6-89239716-89240624;153334962264458;671919712835533;155;0.1;1
5-53959492-53960394;153740708171317;597715717665261;159;99;1
10-69238048-69238975;153831275792771;563005493572132;206;142;1
8-90391342-90392262;154118301260787;499835809457597;213;143;1
3-65563853-65564764;154133588742336;786549256329699;135;86;1
12-98895924-98896846;154358127609764;672801646996079;152;97;1
7-62078288-62079216;15445659933125;-988112236436383;54;113;1
11-72551331-72552229;154996483027944;659815414507734;142;87;1
13-75792373-75793301;155201147589495;455181568506684;304;0.23;1
8-107684701-107685593;155488076227599;565600804895994;182;0.12;1
7-96539347-96540274;156103061832243;705187402139881;145;92;1
5-78077017-78077960;15679148986676;-10719243410578;54;113;1
13-99363648-99364577;157977359788061;597864004493881;193;132;1
12-99226578-99227459;158177179707372;680655025473112;145;93;1
18-39325775-39326681;158218868077288;-123137853035482;54;109;1
14-48709251-48710188;158679022136102;774236247200399;118;71;1
5-118004349-118005258;159247117876571;812174369917765;101;58;1
3-8862898-8863786;160042255653426;75082322321812;125;76;1
2-163722291-163723209;160228955788284;686580328620019;139;85;1
2-71739213-71740128;160434546529592;-112978729013279;54;111;1
3-31259346-31260197;160701247526587;457457981004228;267;0.19;1
7-78267341-78268255;160771694335605;674371858853837;142;89;1
2-44999637-45000561;160929449099885;568259788551285;196;132;1
3-105643325-105644233;161675625465809;790166029680662;105;0.06;1
17-15207837-15208765;161899029703869;-66436774672173;155;0.23;1
10-83058333-83059250;162211376845126;763873745763837;115;68;1
11-94346338-94347265;163403114595821;60580480890635;169;111;1
9-108824512-108825386;163591161543409;-56554400455146;179;258;1
6-48840884-48841771;164129972388277;-392531805645713;331;411;1
9-75654085-75654985;1658119163308;442545269458606;284;203;1
16-86808472-86809396;166062282904537;-124565083326184;47;102;1
16-8208561-8209451;166678333372283;834920524330665;108;64;1
14-119973103-119974033;167396302351689;766391680536029;122;74;1
3-149076800-149077706;168753123921655;560178054976466;216;0.15;1
18-81673212-81674175;169685961264864;784289493714551;115;68;1
6-6571752-6572654;169694913954516;734416443114566;139;88;1
4-150272523-150273446;169983497314104;-907102663543668;91;154;1
9-69960672-69961524;170634370000759;-100981048105766;74;134;1
17-36205352-36206289;171156146129964;703404418848331;125;75;1
10-81411337-81412174;171165063644283;529197281338065;213;146;1
12-31443928-31444809;171212362594685;-906557644353396;81;144;1
2-139656556-139657487;171343421199989;593949346808186;172;112;1
17-84510065-84510869;172171675680956;722029746493897;128;78;1
9-44719720-44720487;172863516153006;635730282235123;166;0.11;1
15-76229070-76229986;17295157370331;337500946741576;378;285;1
9-106156106-106157026;173209116663575;651687295045385;169;113;1
10-44458250-44459156;174575942385457;433366236288091;253;178;1
2-157696008-157696909;175045591688976;-11799098823877;51;106;1
17-63757879-63758795;175409439369561;729940281652485;132;81;1
18-14649507-14650479;175798662672069;753903091630066;122;73;1
7-40421880-40422812;176045668862358;705421635036147;128;78;1
19-59459061-59459890;176153143492788;674896485163729;149;94;1
2-38051408-38052330;177114600747431;752120687024256;111;65;1
2-35978138-35978957;177141318675489;50466638686938;233;165;1
19-24981007-24981946;177267771822943;498766898152417;0.26;188;1
4-140242002-140242911;17775262569464;787706099689311;111;66;1
12-78099540-78100455;178703008434543;627836680696134;155;99;1
7-43784996-43785884;17889383708725;703719091452157;122;73;1
16-38292867-38293798;179157828264985;745293175861413;125;76;1
6-34725655-34726588;179859984103676;756864378772355;122;74;1
9-44733452-44734462;180436194400124;458300012891057;253;179;1
18-44463311-44464255;180769797988636;-937165005173956;74;135;1
9-63138353-63139296;180822868197668;770501649116151;111;66;1
2-127922216-127923131;180849192631537;777626606575176;111;65;1
11-67922758-67923366;180984059561143;-884536971296142;84;148;1
10-60925125-60926073;181521172665213;428520228316312;267;189;1
15-36079285-36080193;18167374934078;500572204100403;0.25;0.18;1
11-117540975-117541918;18175777468493;556484936445031;176;115;1
12-26191294-26192210;182085362488168;473276232993382;264;193;1
8-108829117-108830045;182590312081616;590690710668718;199;139;1
2-178471569-178472480;18273452803511;451383596789219;321;0.25;1
7-46433597-46434533;182777174747032;668143987268524;135;83;1
11-108420376-108421294;183207678725604;838287300554104;105;61;1
14-120169281-120170182;183321726352605;784434349294203;111;66;1
7-100005592-100006497;184698578845558;547484127300168;189;126;1
1-155234044-155234968;18491293662205;-109590230518284;54;0.11;1
2-164457861-164458543;185030163079425;-871357885803453;78;142;1
15-84397388-84398295;185780886226142;399386337953429;321;0.24;1
2-161302664-161303563;185932077993872;-109315369195088;51;106;1
11-108145759-108146638;186348989877913;510629328533488;0.26;192;1
4-32238228-32239080;186626761416171;307548490047619;507;416;1
4-138251649-138252531;186808998733661;-527721121383519;176;257;1
9-62125836-62126777;187247168734573;713109399909663;132;82;1
3-94477728-94478647;187396576117189;319989307097559;422;334;1
14-34822778-34823659;187496400728246;620978112873386;166;108;1
11-69548957-69549889;187608952725063;729106353956231;142;91;1
4-11253693-11254593;188114499274798;279030556851357;571;495;1
6-134962143-134962980;188803543972237;-10884984249995;54;0.11;1
13-38247756-38248669;189011395407126;73857610135788;128;79;1
2-18370340-18371253;189307015614886;548063822663659;182;0.12;1
10-34483161-34483978;189362088255181;-938540004201129;61;121;1
9-57708185-57709072;189555016046893;407610581096979;328;249;1
4-6870218-6871127;18976515142609;652934487398482;155;101;1
5-136244434-136245367;19036062132059;378782316274765;378;296;1
10-27198111-27198991;191156147697881;600553413187675;166;107;1
11-58026216-58027083;19140882618529;-100459985363724;74;133;1
15-11363803-11364734;192256012413562;775506205423677;108;63;1
2-30251373-30252305;192341658658172;678822541645306;162;107;1
5-31893228-31894155;192638972769125;75657232938207;135;86;1
10-39624508-39625479;192643723516555;641569749409626;172;116;1
6-118977389-118978339;193526630853107;599935104991636;189;0.13;1
8-106641913-106642788;193565325348932;-811017969566351;95;0.16;1
9-43749788-43750709;193908689654519;444757649824871;287;0.21;1
6-112210323-112211239;194003470832767;426238539760648;314;234;1
3-28591156-28592043;194327422086564;-983526029221599;47;103;1
4-7391154-7392227;194659044258082;-533747418385626;199;274;1
5-128876155-128876898;195050256635379;765212758838109;111;66;1
17-30245141-30246070;195242970599237;426124106597554;304;229;1
18-56773999-56774996;195343422708622;76757121695657;115;68;1
6-40435655-40436493;195605782031599;341186320041026;432;347;1
10-21444156-21445081;196081833812087;844992380701741;118;73;1
12-83317358-83318266;196376131673036;-118056748843374;51;105;1
15-27787940-27788891;196378925101818;683115528726529;142;0.09;1
5-134088607-134089528;197966313831018;780903728915428;108;64;1
2-113773935-113774852;198223546371364;696998862944191;125;76;1
4-77259171-77260088;198305494225462;-663738555252978;149;0.22;1
16-84460776-84461701;198308955906018;811300386190691;101;58;1
5-149488374-149489417;19833573200614;629305614435917;196;136;1
9-85410438-85411338;198753632347517;596962409128929;182;124;1
4-141766601-141767579;198783080356782;657913590867286;145;93;1
13-12369010-12369847;198987300512875;-110500390863424;51;106;1
11-88356585-88357519;199084513503662;352056034477416;389;298;1
14-34417172-34418086;199464452433773;61053572856691;172;114;1
7-19093613-19094500;199913159329331;-415713391178389;307;0.39;1
2-147838314-147839250;199961924472465;633902496572441;155;0.1;1
3-57446456-57447360;201357854924341;526829686493091;216;152;1
2-173721720-173722821;20190454856777;463350638116121;0.28;205;1
19-10363674-10364600;201995366576427;-633397163380338;149;224;1
13-94144426-94145339;202382161229915;573018810402209;196;135;1
17-66351914-66352833;202482051101547;754493586630488;115;68;1
6-113720783-113721718;202861775047925;753096003215265;118;72;1
16-21814926-21816043;203069917744083;-105584343676035;61;118;1
8-34472543-34473441;20319081526433;615497724951392;169;112;1
3-33904948-33905864;203511119593483;520498350596539;196;132;1
6-31011094-31012019;204802328006108;755601621565868;108;63;1
13-94882909-94883844;204941552087934;58638781216043;199;141;1
4-129112827-129113728;205358606974286;488445432356582;264;197;1
10-43601831-43602661;205597015773581;707589046001534;135;86;1
9-43544683-43545650;20592671781269;630792796508709;166;109;1
2-35652679-35653644;206082687039712;770789922511113;101;58;1
9-73088966-73089900;206755021436765;-861318066573225;91;154;1
11-78301099-78301992;207070991657604;312270615026042;493;401;1
17-32753380-32754301;207968787092991;708067571903592;132;82;1
5-137734020-137734925;208635814012504;49527592999146;0.24;172;1
1-79439612-79440534;20892843085999;-109498234085461;54;109;1
8-89787342-89788259;20908161681124;-82618159517018;98;0.16;1
10-75559677-75560594;210189622801493;483207498166872;257;188;1
16-11794412-11795331;211033103292976;-729307435809349;115;183;1
5-43338698-43339646;211285731210658;64174666365958;145;91;1
7-141934176-141935120;211623793266291;542324053568386;216;152;1
8-40272064-40272964;212209220927327;763946219776682;105;61;1
5-76732901-76733820;212494548609637;72227117232477;139;89;1
8-44974729-44975757;212578465791802;723582868037407;125;77;1
1-177150136-177151060;212781090145;557270209180129;209;148;1
3-75164578-75165505;213016929097737;533908518267779;196;133;1
11-18053677-18054601;213061824500088;597209808492997;179;122;1
15-100923196-100924119;213709285256148;732054409171327;108;63;1
11-91051405-91052337;214782444484601;-91935375114483;74;134;1
4-95185279-95186233;215272278945859;79382057981739;105;61;1
9-43699450-43700483;217148805681735;61896540927794;162;107;1
18-81509105-81510039;217816090211433;-780881660984322;108;173;1
9-41771940-41772894;218608427063784;-11715183434822;47;0.1;1
7-80024756-80025615;219167039966655;-644096984311537;145;0.22;1
9-108296217-108297131;21982017899171;-787885306333083;81;144;1
6-91729472-91730399;220098498052341;-677656928625783;155;222;1
2-69032324-69033216;220241256574777;351413046881983;372;282;1
5-137292932-137293717;220258634850733;-711732058158532;115;182;1
1-172309777-172310612;22045593927517;-501195811161441;216;297;1
14-76432264-76433168;220798833096388;667845983826599;145;93;1
11-105589315-105590259;220828758184779;-354580284661526;341;434;1
16-77466975-77467879;220876316450665;664557206031931;152;98;1
4-149149285-149150213;22134580539637;630742383974417;155;101;1
2-165857278-165858058;221846376757023;-122558147110149;47;0.1;1
12-76533024-76533907;222691199781636;-380349991990856;355;441;1
2-146033251-146034162;222714024573739;740990996711291;108;63;1
18-4994147-4994971;223207473580171;665019938423832;162;109;1
5-115317424-115318225;223643511868156;-950766312058184;68;127;1
19-37437330-37438146;224175252734154;637073773164701;162;107;1
3-30481503-30482428;22418363716206;781914279020967;111;67;1
16-4558264-4558990;224543329008131;341520569713023;395;313;1
4-75277806-75278695;224562012258158;423641480568459;314;237;1
13-118027613-118028537;224814046823033;796813815568102;115;0.07;1
15-78900906-78901854;225026130474384;686058581113341;135;85;1
8-120518413-120519361;225417861011591;74931056135832;115;69;1
2-59169924-59170819;225700768556763;584006057227333;176;118;1
4-126429161-126430071;227583555076699;286424657418532;551;476;1
7-127232700-127233626;229542983800752;300686537444475;541;466;1
3-127696297-127697178;230404191713079;611401973335449;169;113;1
12-11221228-11222152;230576363716855;-117052061218305;51;104;1
2-118667036-118667962;230943771327337;762132712977947;111;67;1
4-106103612-106104543;231306721930772;773506632603254;111;67;1
19-53299310-53300291;232180245879401;71844516503001;139;89;1
10-42163298-42164223;232507049635728;674261281691162;152;0.1;1
10-81482236-81483148;232535165418935;-600019201496419;172;243;1
4-107366054-107366846;233266524809599;54399305992007;199;138;1
11-77514668-77515605;23337150724446;370005361429246;368;285;1
1-63209381-63210279;233535738167883;695094843108028;108;62;1
7-73730127-73730990;233882745095491;-675504108737525;122;193;1
7-128671919-128672840;233964435315669;497248202735594;223;158;1
11-59994040-59994953;234020103705769;-622273589854723;166;233;1
17-52602017-52602838;235915700633792;418820255833627;345;271;1
19-57112515-57113478;236486261364691;579562489731535;166;0.11;1
18-38144518-38145450;237041955452703;290797212100363;507;413;1
5-64344957-64345880;238669580831465;326186396659186;443;353;1
4-28814957-28815824;239315431261047;342880747964131;426;338;1
2-29245130-29246046;23937310624371;601373788913703;182;123;1
2-32164264-32165141;239796925576489;468746856737482;0.23;161;1
2-43271793-43272723;241247193729333;430043668982289;294;222;1
3-152816320-152817233;241271192689625;-872989710545275;71;131;1
8-112984907-112985822;242085130393269;40310030535456;348;272;1
14-66190149-66191065;242599198014935;-110169325377968;54;108;1
17-35050030-35050615;242939884915407;-881553811122826;74;134;1
2-91298804-91299717;243515880792365;793311663637736;105;62;1
16-30052923-30053852;243948537437518;597225179597827;155;101;1
4-44851674-44852589;244223983868406;617046528545137;149;95;1
15-79368393-79369323;244868435530921;380021652486298;324;246;1
17-27097231-27098169;245043125353937;-688174948727948;128;196;1
7-109968770-109969681;24509733310003;718514015414089;128;81;1
1-35930738-35931640;245488232847041;-96404053990693;64;122;1
2-32395431-32395914;245730261381219;-495371024467851;203;282;1
7-35126830-35127707;246364606885934;77806901389592;118;73;1
3-142708510-142709418;248021337284929;716661273202087;118;72;1
11-50601569-50602465;24821182517856;-674434054147409;135;204;1
7-24969536-24970416;248743776257808;593039622584884;149;94;1
11-96124056-96125008;249403129610289;606508199671683;213;152;1
2-92935175-92936068;249417883422031;-585159121088788;155;231;1
7-43312766-43313669;250414308877999;320114549295929;453;368;1
5-73103347-73104263;250422640299478;355122743955585;399;329;1
7-68851738-68852683;251097238982368;764452356492744;111;67;1
13-56521967-56522891;251262726033883;-341122653648618;409;478;1
10-122901236-122902121;251553754621715;57634844439993;176;117;1
11-119834015-119834922;2518228962413;666893523248166;162;109;1
16-94826833-94827735;252055756435386;325601665350196;412;324;1
16-35034034-35034985;252281941843179;703585654260387;122;74;1
9-89704529-89705410;252531541215542;-363351305340048;365;444;1
3-124157536-124158448;252615072969274;672336239531424;142;92;1
2-170884020-170884946;252807512927348;-113192189845024;57;0.11;1
X-38251813-38252737;252911596571355;686694434555485;111;66;1
8-122296084-122296952;25295743977904;552355743254444;189;129;1
3-152193458-152194305;253790651116131;-968511057933768;61;118;1
7-45191519-45192486;253978518127432;499403283964144;0.24;173;1
13-92844455-92845381;25453290614657;-60867633551429;132;205;1
12-65172280-65173203;254551354230119;268229534455053;561;482;1
18-25486629-25487552;25466276364986;367525856545523;395;316;1
13-97406408-97407295;255345115819622;451422715242651;287;214;1
15-34442937-34443820;255716677059601;-342538061246689;392;477;1
9-35199479-35200390;256055334077471;357155537110586;399;317;1
11-94958019-94958919;256089458646681;792217563480641;108;65;1
5-118488734-118489620;256439736603985;564235360990279;166;109;1
6-90809828-90810716;257133145646506;569031220119623;166;109;1
5-113872736-113873604;257536079631088;341749518147547;395;309;1
4-136698581-136699338;257762044407187;592793635342562;162;106;1
14-21903543-21904414;258728166185778;382683417995876;338;259;1
2-159754924-159755497;25879472437192;707158938907106;118;72;1
16-80196065-80196977;259600998752614;710996257802436;125;77;1
2-83211340-83212276;260342894835032;-997222037102469;61;116;1
3-133091369-133092270;260624127794795;308420597443104;544;474;1
7-68930382-68931317;260911421468254;-106837221361528;51;104;1
4-45851308-45852233;261188111118433;523017181001214;199;137;1
4-12757905-12758834;261705412121587;544459305167878;199;139;1
5-106420200-106421466;261987725370204;-104511522074794;54;108;1
4-138509694-138510553;26207437813417;442602778448389;277;208;1
15-79879049-79879922;262424495564851;-110053374340594;47;0.1;1
5-24550670-24551592;262791185614245;-112396650172265;47;0.1;1
8-84357517-84358448;262884989395302;352803648038066;361;273;1
9-58111081-58111827;263216068280889;571581894235157;172;116;1
17-28952017-28952941;26342036539996;281314269751594;578;492;1
1-84694507-84695317;263583155061283;4690983468234;247;177;1
16-34546565-34547499;263753512541026;453982468917584;243;174;1
18-50011269-50012246;264531207053275;731379485834426;115;0.07;1
12-17492314-17493238;265634152068623;626790321703225;149;96;1
19-38124299-38125224;266470257639704;-586585716550085;166;239;1
3-9665564-9666455;266959403602256;453949716568342;257;189;1
9-70069697-70070619;267354889832869;556674048835171;186;128;1
7-16153247-16154160;268427701797791;612442014668968;182;126;1
10-80298644-80299535;268826958012111;703387677917651;125;78;1
7-81134334-81135238;268965436954385;-735042708323845;108;174;1
18-22498111-22499044;269242540172217;63944350410116;142;91;1
3-122142240-122143182;269306134813347;709271762764895;125;78;1
11-116306310-116307185;26965098094063;321449106038664;446;353;1
19-42135803-42136728;270719338795925;733686452998097;118;72;1
13-113858390-113859284;271482027965603;532081946464271;206;144;1
11-86958826-86959592;271838921816273;754019293339647;111;67;1
8-22652953-22653856;271891945451094;342277442988922;446;0.36;1
14-39473029-39473866;273091890993432;491906325935139;236;172;1
8-26266188-26267074;273102049839192;758697415394026;111;67;1
17-62879616-62880442;274513969454118;579813064727728;166;111;1
17-29416032-29416862;275219732164691;-689554620140632;135;204;1
4-125855954-125856887;275333573595975;279502831149828;483;385;1
7-46238105-46239019;275966574113207;-73186003110439;111;176;1
7-126125109-126125979;276093197010453;708030402838458;125;78;1
9-120519390-120520314;276820011739259;-891624782090497;71;0.13;1
3-94483835-94484733;277049168507259;457246409640279;253;186;1
12-85217594-85218352;277370149197264;601574327976421;172;116;1
8-33992687-33993608;277483196882595;682576041254301;125;78;1
6-114347517-114348398;278338836572599;552886791404848;182;123;1
5-111996482-111997414;278544519940649;533254027932612;203;141;1
17-56276411-56277327;278622087795678;-442792856239778;243;325;1
5-127978296-127979217;279369914253628;689767720450633;128;81;1
6-97060026-97060925;279893997902087;512127313471098;203;141;1
7-79313349-79314327;280082169317528;-859357536500794;68;127;1
6-119543707-119544669;28017766856552;372233197250236;324;242;1
7-30888500-30889416;280271736995839;535404852713544;203;142;1
6-54133105-54134012;280623266787294;549956262282675;196;137;1
9-21430510-21431441;280889182222304;-888491261807381;74;132;1
18-61935056-61935931;281097355096577;507025178566958;209;145;1
1-60625704-60626612;281661279369394;552414081948447;193;132;1
10-114239979-114240891;281710959963672;721941529788479;122;75;1
17-46093034-46093937;282167897276525;55112742570366;162;106;1
15-87625341-87626234;282837514484642;406459918720784;314;238;1
9-71065066-71065972;283344115164867;69378426706831;142;93;1
7-113419118-113420026;28349073687575;641218423152897;125;77;1
6-88235748-88236694;283703683382728;807508274391508;115;0.07;1
2-72978788-72979707;284618136758716;306109138075006;598;535;1
11-75793471-75794327;285391850335458;548594853265534;206;145;1
11-100406784-100407629;285504092375968;693489308266982;122;75;1
17-80228962-80229895;285725995870173;330614192545741;432;352;1
11-118793296-118794199;287901691729278;415504872767309;284;209;1
12-46416797-46417647;288162665601784;650243360937107;135;86;1
11-75244213-75245106;288492836380437;51912223439392;193;133;1
1-72854547-72855444;289022219931318;725754774058809;122;76;1
8-126759822-126760759;289073534327385;-104149364430279;51;104;1
8-127309100-127310043;289333417830458;722968957975131;115;0.07;1
9-97123655-97124640;289564148382992;783897862103397;108;66;1
6-84832692-84833579;289867427145563;668800400933934;122;74;1
6-124492621-124493532;289884659749169;-773152398762165;71;132;1
11-45577469-45578389;290602196659989;440186159904383;0.26;191;1
4-136089938-136090862;291173303979187;650602303831462;152;0.1;1
2-160887695-160888460;291354255771815;-516081523173418;179;251;1
18-84719754-84720658;293675036839595;540893198530567;196;136;1
13-64310315-64311240;293789800162896;658761793069504;145;95;1
1-167349673-167350550;293867759160897;-439999702164624;257;336;1
7-141950362-141951188;293979620574667;343322400539242;368;282;1
11-109176146-109177092;294287004845797;-107684012939861;57;0.11;1
2-152735959-152736746;294477685908121;-670410197330541;166;231;1
11-59908213-59909111;295189900776865;-900710204417685;68;124;1
15-101987934-101988796;295617730352005;626088468823847;149;97;1
4-57134331-57135270;296045287016433;-903473215304885;61;117;1
7-68408330-68409207;29608077997962;389151080580832;368;296;1
18-82283967-82284869;297416643057188;516264415384174;196;135;1
9-22874947-22875866;297725489652413;473137494548849;243;176;1
6-16486958-16487869;299517883846424;798560642235528;101;0.06;1
11-115246089-115247013;300356505344541;520918585955206;199;0.14;1
17-25802832-25803756;300829032934642;328240491699027;432;348;1
8-47540275-47541165;300857982114267;620619235220481;159;105;1
11-80471821-80472669;301633988750643;699853140408564;139;91;1
8-70696298-70697158;301961070729106;-659986741636474;115;0.18;1
2-26573154-26574043;302564681551654;674677350820679;122;75;1
7-18827693-18828571;302933976705868;383394326036413;321;243;1
2-156475208-156476051;303678089715132;320831217200721;395;312;1
17-8204873-8205806;304369438425028;484736982603716;0.22;155;1
9-102889933-102890831;305065527222789;648299204722889;125;77;1
12-110092540-110093539;305659595347596;-852311430456018;88;147;1
3-95864630-95865562;30630789880313;534882597837339;196;135;1
15-49453231-49454157;30888676946565;478869993774959;236;168;1
8-13492277-13493155;309470578927972;533848471465775;186;127;1
19-15996696-15997637;309598222855459;412328736969843;334;261;1
15-76521837-76522750;3097300545526;-803320725712434;91;152;1
3-77051660-77052563;31014981374267;680746983834377;125;78;1
8-68890153-68891028;310427825589737;687604675305991;125;78;1
17-5622063-5622756;310473099575666;426998162547002;257;187;1
14-47371487-47372420;310617466015427;443970753685041;0.25;183;1
19-40756966-40757852;310734711183103;-10000699382133;57;0.11;1
13-104635778-104636695;310898102116506;-924775222072194;68;124;1
6-122764333-122765273;311899885594195;617918970087953;142;91;1
5-74301385-74302219;311941094331268;785071822081172;101;0.06;1
11-69094553-69095480;312733546104425;-320065668152688;0.5;552;1
18-35844517-35845393;313186909847406;-945267580467209;71;128;1
1-51650043-51650987;313218771589125;503051295112038;213;0.15;1
7-6860382-6861317;313340162967767;419397328932642;253;184;1
14-32387955-32388870;313373697240203;-510439666773249;152;226;1
10-3368084-3368972;314403268477799;-745826578908411;95;158;1
4-141513666-141514623;314404972163365;4822507737072;0.24;173;1
11-87984266-87985128;315351038956396;71369718425539;125;79;1
6-131292760-131293638;315561004001444;489210656516735;216;151;1
12-77726683-77727588;315629048836757;-850781408907473;95;154;1
5-129409476-129410396;316081109413446;472114649732946;0.24;173;1
5-90987289-90988235;316824332542584;-12267395135636;51;0.1;1
7-28741546-28742463;317614558506382;-27025523513284;419;497;1
9-95857239-95858105;317678734154752;329670155782379;459;385;1
19-41693515-41694437;317858108523164;555916589798335;189;134;1
10-45485859-45486647;318320351316971;343428368565778;402;0.32;1
9-72628329-72629274;318378052095796;69330339053713;108;65;1
10-116017849-116018738;319109121490629;438784753656045;264;195;1
3-102204161-102204835;320579354352773;44188049547653;264;195;1
9-67778267-67779170;321263838102678;-111536400878798;57;109;1
7-144417370-144418272;321445633258989;441616413578952;0.26;192;1
10-23839085-23840007;321554243831105;535049940499607;196;138;1
14-121248334-121249275;323052784482521;747247307341688;101;59;1
8-122336035-122336996;323521191231269;-768975586521818;91;153;1
10-80316064-80317003;324139119556682;424436683819639;284;213;1
17-83238081-83239043;324685098724248;56252164696697;169;114;1
16-97534675-97535569;324879903323851;-922338336794305;64;0.12;1
5-118191997-118192899;324976829520048;665517209083677;135;87;1
4-154299534-154300451;32701707084463;-352803707931968;324;398;1
1-61111602-61112572;327610280630956;438283607390965;233;163;1
13-92131284-92132169;32787183617794;-740460500342299;118;0.18;1
5-120409317-120410266;328170566954619;499523624575984;216;0.15;1
11-6404472-6405390;328576431742142;368348406359247;318;243;1
8-90861700-90862533;329067212452481;-742875558347079;84;146;1
14-8000963-8001812;329301037390696;724684441415749;108;65;1
8-13677206-13678083;329344009958474;-436930296057787;0.27;0.35;1
2-105666454-105667373;329416660678805;379028630911025;348;268;1
13-68597345-68598233;329580698613769;639123676406856;115;69;1
9-44250414-44251157;329946597250042;636219502208885;132;83;1
12-70731240-70732160;331078414394711;529200735067687;203;141;1
5-100175344-100176257;332113106601864;-10348031638361;57;0.11;1
19-41071264-41072177;332652506510418;696073563686274;128;82;1
6-67300540-67301368;333809792431653;-999000851134374;47;0.1;1
1-190733496-190734528;335117776143581;-799153480915593;91;151;1
6-56017014-56017940;335277806261442;695913229040442;111;67;1
11-72050708-72051642;335680722001164;493180900714397;213;151;1
4-72799726-72800635;335915563535356;657277949518327;159;107;1
10-57047470-57048376;336120138629811;497576166479441;199;139;1
7-127928391-127929299;336365128771087;368464177104127;389;322;1
6-15609898-15610812;337082246520901;-915483333779745;61;115;1
14-33952153-33953101;337364680464305;458092019702435;236;172;1
17-73639359-73640260;337581974010528;36480176991956;399;0.32;1
2-80447069-80447784;338272641311299;-105468131912995;51;102;1
12-81891691-81892562;340199242213791;665240426475752;125;78;1
1-64956296-64957231;341516144830679;394837610875631;318;246;1
4-66715505-66716422;34213141580962;692303811897631;125;79;1
10-67912109-67913010;342976989264967;517393137766754;206;146;1
19-23447928-23448496;343006690261593;735864326285709;101;0.06;1
19-4927827-4928737;343807712750871;-3898399640044;328;401;1
12-45012938-45013871;345278083535315;763127222532977;101;0.06;1
16-22161193-22162025;345962543306859;-724532104109116;101;166;1
14-32321578-32322467;346003468892312;-666793282641886;155;0.22;1
7-132226518-132227381;346439119808603;681764312835848;125;79;1
10-41684381-41685307;34673866792991;-535382747543614;182;256;1
19-7396769-7397706;346769352411632;640524726294826;139;89;1
3-94482119-94483123;347080393914605;417917864598314;301;235;1
11-94043726-94044622;347858475751941;393982989738018;392;319;1
12-69197794-69198547;350673831361924;-542315867370816;196;267;1
1-44198438-44199311;350759074167406;804971913153212;101;61;1
